able	unable
abaxial, dorsal	adaxial, ventral
acroscopic	basiscopic
abducent, abducting	adducent, adductive, adducting
nascent; emerging, emergent; dissilient; parturient	dying; moribund; last
abridged; half-length; cut, shortened; potted; short	unabridged; uncut, full-length
absolute; implicit, unquestioning; infinite; direct; living	comparative, relative; relational
absorbent, absorptive; receptive; spongelike, spongy; shock-absorbent; hygroscopic; thirsty; assimilative, assimilating, assimilatory; sorbefacient, absorbefacient	nonabsorbent, nonabsorptive; repellent, resistant
adsorbent, surface-assimilative, adsorptive; chemisorptive, chemosorptive	nonadsorbent, nonadsorptive
absorbable	adsorbable, adsorbate
abstemious; austere, ascetic, ascetical, spartan; abstinent, abstentious; nonindulgent, strict	gluttonous; wolfish, voracious, edacious, ravenous, rapacious, ravening, esurient; crapulous; too-greedy, overgreedy; greedy; indulgent; crapulent, crapulous; piggy, porcine, hoggish, piggish, swinish
abstract; intangible, impalpable; ideal; conceptual; notional, conceptional, ideational; ideologic, ideological; nonrepresentational	concrete; objective; tangible, touchable; existent, real; tangible, real; practical
abundant; verdant; rampant; voluminous, copious; plentiful; torrential; easy; thick; abounding, galore; plenteous, copious, plentiful, rich, ample; rich; long; riotous, luxuriant, profuse, lush, exuberant; superabundant; teeming; ample; overabundant, plethoric, rife; rank	scarce; stingy, meager, meagre, scrimpy, meagerly; rare; tight
abused, maltreated, mistreated, ill-treated; battered	unabused
acceptable; unobjectionable; unexceptionable, unimpeachable; satisfactory; bankable	unacceptable; unwelcome; unsatisfactory; exceptionable, objectionable
accessible; getatable, get-at-able, come-at-able; approachable, reachable; convenient; handy, ready to hand	inaccessible, unaccessible; un-get-at-able, ungetatable, un-come-at-able; roadless, trackless, untrod, untrodden, pathless, untracked; remote, outback; out of reach, unapproachable, unreachable, unreached
accommodating, accommodative; obliging, complaisant; kind; helpful; good-natured	unaccommodating, unobliging; uncooperative, disobliging
accurate; dead on target, true; high-fidelity, hi-fi; right, veracious; dead-on; close, faithful; precise; exact; right, correct; surgical; straight	inaccurate; unfaithful; wide, wide of the mark; imprecise; wrong, faulty, incorrect; wrong, incorrect; inexact; outside, away
accustomed; used to, wont to	unaccustomed; new; unused
acidic; acid-forming; acid	amphiprotic, amphoteric
acidic; acid-forming; acid	alkalic, alkaline; alcalescent, alkalescent; saltlike; basic; base-forming
alkalic, alkaline; alcalescent, alkalescent; saltlike; basic; base-forming	amphiprotic, amphoteric
acid-loving; acidophilous, aciduric, acidophilic	alkaline-loving
acknowledged; self-confessed; recognized, recognised, accepted; putative; granted, given; assumptive; declarable; known	unacknowledged; secret, unavowed; unknown; unsung, unvalued, unappreciated; unrecognized, unrecognised; unconfessed
